시도,시군구,현재흡연율,고위험음주율,걷기실천율,비만율,우울감경험률,고혈압진단경험률,당뇨병진단경험률,미충족의료율,총인구,인구65세이상,고령인구비율,1인가구수,독거노인가구수,1인가구비율,독거노인비율,병의원수,종합병원수,총의사수,천명당병의원수,천명당의사수,십만명당종합병원수,건강축,인구축,접근성축,취약지수,클러스터
경남,사천시,15.8,15.3,43.1,39.9,5.5,23.4,10.5,4.5,108451.5,27550.5,25.4,19221.0,7565.0,17.72,27.46,53,0,109,0.489,1.005,0.0,0.389,0.39,0.578,0.452,0
경남,산청군,19.3,13.6,41.1,34.3,7.3,19.8,11.0,7.5,33421.5,13975.5,41.82,6891.0,3950.0,20.62,28.26,15,0,15,0.449,0.449,0.0,0.41,1.393,0.703,0.835,1
경남,양산시,17.9,11.7,55.0,31.6,4.3,18.4,7.0,2.7,356471.0,61766.0,17.33,50226.0,15462.0,14.09,25.03,209,3,776,0.586,2.177,0.842,-0.737,-0.384,-0.026,-0.382,2
경남,의령군,14.0,7.2,52.4,28.1,1.8,20.8,11.3,4.2,25258.0,10556.0,41.79,5784.0,3462.0,22.9,32.8,11,0,14,0.436,0.554,0.0,-0.786,2.016,0.697,0.642,1
경남,진주시,13.8,11.6,44.0,34.4,3.0,17.4,9.4,6.4,339215.0,68633.5,20.23,57549.0,17659.0,16.97,25.73,232,4,831,0.684,2.45,1.179,-0.467,-0.13,-0.283,-0.293,2
경남,창녕군,18.8,14.3,64.7,32.9,1.1,24.1,11.8,1.0,56461.5,20991.0,37.18,11146.0,6054.0,19.74,28.84,30,0,43,0.531,0.762,0.0,-0.282,1.22,0.584,0.507,1
경남,창원시,18.0,12.9,45.3,33.8,6.5,17.9,9.1,12.1,1000825.5,185623.0,18.55,147618.0,45374.0,14.75,24.44,666,10,1881,0.665,1.879,0.999,0.187,-0.399,-0.102,-0.105,2
경남,통영시,22.2,17.3,60.9,42.4,5.5,18.7,11.4,4.5,119213.0,29473.0,24.72,20253.0,7972.0,16.99,27.05,78,1,133,0.654,1.116,0.839,0.423,0.296,0.096,0.272,0
경남,하동군,18.6,10.1,36.6,29.9,6.1,21.5,8.2,10.5,41037.5,16629.0,40.52,7998.0,4525.0,19.49,27.21,19,0,23,0.463,0.56,0.0,0.078,1.178,0.673,0.643,1
경남,함안군,17.4,9.2,50.2,33.9,6.7,20.5,10.9,2.2,59344.5,18229.5,30.72,9882.0,5091.0,16.65,27.93,24,0,35,0.404,0.59,0.0,-0.213,0.744,0.717,0.416,1
경남,함양군,17.5,12.9,42.1,30.0,7.5,20.5,10.5,6.6,36425.5,14086.0,38.67,7316.0,4225.0,20.08,29.99,22,0,34,0.604,0.933,0.0,0.149,1.46,0.496,0.702,1
경남,합천군,14.5,14.0,21.0,33.4,2.1,21.2,7.8,6.1,40433.0,17973.5,44.45,9136.0,5749.0,22.6,31.99,18,0,25,0.445,0.618,0.0,-0.121,2.049,0.679,0.869,1
경북,경산시,18.7,9.9,31.0,34.5,9.1,20.7,11.3,3.9,265384.0,53406.0,20.12,54789.0,12934.0,20.65,24.22,172,2,320,0.648,1.206,0.754,0.359,-0.343,0.119,0.045,0
경북,경주시,22.1,11.9,50.0,34.3,5.2,19.5,8.5,3.2,245297.5,65655.5,26.77,44875.0,17031.0,18.29,25.94,135,1,301,0.55,1.227,0.408,-0.197,0.255,0.332,0.13,1
경북,고령군,17.4,11.1,37.2,44.4,6.5,24.2,11.3,5.4,30040.0,11114.0,37.0,5464.0,2932.0,18.19,26.38,13,0,19,0.433,0.632,0.0,0.657,0.872,0.686,0.738,0
경북,구미시,18.3,14.1,42.1,36.4,7.2,21.4,10.5,6.0,403891.0,50435.0,12.49,67507.0,11926.0,16.71,23.65,235,3,532,0.582,1.317,0.743,0.412,-0.837,0.159,-0.089,0
경북,김천시,17.1,12.4,47.7,33.5,6.0,17.8,9.2,1.1,136127.5,36568.0,26.86,23211.0,9255.0,17.05,25.31,62,2,155,0.455,1.139,1.469,-0.424,0.173,0.009,-0.081,1
경북,문경시,21.1,15.5,44.3,38.5,3.7,24.5,12.8,5.1,67775.0,23690.0,34.95,12148.0,6424.0,17.92,27.12,42,1,86,0.62,1.269,1.475,0.681,0.862,-0.15,0.464,0
경북,봉화군,22.4,11.2,38.2,39.1,1.6,21.4,8.9,3.0,29071.5,12369.5,42.55,5799.0,3421.0,19.95,27.66,9,0,14,0.31,0.482,0.0,-0.062,1.35,0.812,0.7,1
경북,상주시,19.6,9.9,30.4,38.6,1.5,24.6,8.8,1.6,92675.5,33184.5,35.81,17591.0,8888.0,18.98,26.78,49,2,88,0.529,0.95,2.158,-0.069,0.862,-0.29,0.168,1
경북,성주군,16.0,11.8,52.4,30.1,4.2,21.0,8.0,6.0,41642.0,15689.5,37.68,7517.0,3848.0,18.05,24.53,16,0,19,0.384,0.456,0.0,-0.468,0.654,0.755,0.314,1
경북,안동시,20.9,13.2,32.8,33.4,4.0,19.2,8.8,3.8,152743.0,43057.5,28.19,30172.0,11766.0,19.75,27.33,86,3,284,0.563,1.859,1.964,-0.06,0.523,-0.393,0.023,1
경북,영덕군,19.9,7.0,52.2,33.8,3.4,20.9,8.5,2.1,33537.0,14312.5,42.68,7676.0,4550.0,22.89,31.79,19,0,28,0.567,0.835,0.0,-0.625,1.925,0.543,0.614,1
경북,영양군,22.2,12.9,32.3,28.0,3.7,21.8,9.2,8.3,15472.0,6538.0,42.26,3322.0,1946.0,21.47,29.76,2,0,4,0.129,0.259,0.0,0.167,1.623,0.997,0.929,1
경북,영주시,23.2,13.1,36.3,38.5,6.9,19.4,10.1,4.3,99335.0,30982.5,31.19,17547.0,7974.0,17.66,25.74,56,1,95,0.564,0.956,1.007,0.441,0.468,0.131,0.347,1
경북,영천시,16.2,10.5,35.2,35.3,4.2,20.1,12.9,6.7,98967.0,32341.5,32.68,18978.0,8780.0,19.18,27.15,60,1,98,0.606,0.99,1.01,0.186,0.743,0.09,0.34,1
경북,예천군,17.8,10.3,25.9,28.7,1.1,18.4,7.4,5.4,54841.0,18059.0,32.93,9349.0,4992.0,17.05,27.64,23,0,34,0.419,0.62,0.0,-0.618,0.824,0.699,0.302,1
경북,울릉군,21.0,15.3,63.6,36.1,6.4,21.8,8.4,5.3,9026.5,2665.5,29.53,2093.0,651.0,23.19,24.42,0,0,0,0.0,0.0,0.0,0.093,0.196,1.145,0.478,0
경북,울진군,17.3,9.4,39.7,36.5,3.6,23.0,11.3,4.8,46282.5,14747.5,31.86,9303.0,4462.0,20.1,30.26,16,0,40,0.346,0.864,0.0,0.057,1.126,0.719,0.634,1
경북,의성군,18.5,14.4,50.3,37.3,4.5,23.0,10.8,4.7,49236.0,22879.5,46.47,10618.0,6576.0,21.57,28.74,20,0,27,0.406,0.548,0.0,0.242,1.712,0.722,0.892,1
경북,청도군,17.8,10.5,52.4,33.5,7.7,22.0,9.1,5.1,40846.5,17632.5,43.17,7770.0,4683.0,19.02,26.56,21,0,29,0.514,0.71,0.0,-0.05,1.232,0.607,0.596,1
경북,청송군,17.6,13.9,29.8,37.1,3.5,21.2,11.2,3.6,23828.0,10203.5,42.82,5207.0,2835.0,21.85,27.78,11,0,9,0.462,0.378,0.0,0.236,1.381,0.705,0.774,1
경북,칠곡군,23.0,10.4,59.1,34.1,5.1,20.4,9.7,2.0,108585.0,21291.5,19.61,18783.0,5253.0,17.3,24.67,55,0,67,0.507,0.617,0.0,-0.258,-0.309,0.628,0.02,1
경북,포항시,18.9,11.4,49.9,33.9,3.8,21.0,8.7,2.6,490895.5,106988.5,21.79,77434.0,26495.0,15.77,24.76,304,5,771,0.619,1.571,1.019,-0.369,-0.178,-0.021,-0.189,1
광주,광산구,21.9,9.4,42.2,35.4,2.7,21.7,7.9,5.2,393221.0,45794.0,11.65,55658.0,11162.0,14.15,24.37,247,7,665,0.628,1.691,1.78,-0.204,-0.784,-0.346,-0.445,2
광주,남구,12.0,4.9,76.8,29.4,2.6,17.6,8.5,1.8,208110.0,43452.5,20.88,30302.0,10087.0,14.56,23.21,167,4,472,0.802,2.268,1.922,-1.621,-0.441,-0.64,-0.901,2
광주,동구,13.2,6.7,62.0,30.2,3.6,18.4,7.2,1.7,105985.0,24495.0,23.11,23228.0,5949.0,21.92,24.29,130,3,960,1.227,9.058,2.831,-1.318,-0.171,-2.473,-1.321,3
광주,북구,14.4,12.5,51.7,31.1,3.2,18.3,7.3,2.3,421499.0,76795.5,18.22,73844.0,20507.0,17.52,26.7,316,6,709,0.75,1.682,1.423,-0.874,-0.106,-0.305,-0.428,2
광주,서구,18.0,12.3,60.5,31.3,5.3,18.9,9.0,5.3,280503.0,49399.0,17.61,49178.0,12288.0,17.53,24.87,310,5,680,1.105,2.424,1.783,-0.416,-0.391,-0.86,-0.556,2
대구,군위군,20.1,8.2,35.5,31.6,7.3,20.8,10.2,2.8,22672.0,10460.0,46.14,3969.0,2415.0,17.51,23.09,8,0,9,0.353,0.397,0.0,-0.041,0.916,0.791,0.555,1
대구,남구,21.3,12.3,41.4,34.1,6.2,20.7,9.4,3.9,136827.5,37049.5,27.08,33768.0,10497.0,24.68,28.33,127,3,853,0.928,6.234,2.193,0.104,0.601,-1.509,-0.268,1
대구,달서구,19.1,11.9,49.5,34.0,7.5,18.6,9.6,10.8,523351.5,96926.0,18.52,79175.0,24326.0,15.13,25.1,456,6,1347,0.871,2.574,1.146,0.22,-0.309,-0.444,-0.178,2
대구,달성군,13.7,10.7,37.1,32.8,3.1,17.2,7.3,3.7,259397.5,41555.0,16.02,31738.0,8851.0,12.24,21.3,131,0,188,0.505,0.725,0.0,-0.769,-0.968,0.612,-0.375,2
대구,동구,16.9,11.2,55.6,34.1,8.1,18.9,8.3,4.4,341245.0,78659.0,23.05,56013.0,20035.0,16.41,25.47,266,2,613,0.779,1.796,0.586,-0.29,-0.012,-0.02,-0.107,2
대구,북구,16.5,10.2,53.9,33.7,6.9,19.5,8.9,3.3,415114.0,75792.0,18.26,67948.0,18179.0,16.37,23.99,301,2,717,0.725,1.727,0.482,-0.39,-0.476,0.076,-0.263,2
대구,서구,19.8,10.6,50.1,36.0,3.7,21.3,10.8,4.0,162769.5,43981.0,27.02,30363.0,11898.0,18.65,27.05,133,2,280,0.817,1.72,1.229,-0.08,0.421,-0.29,0.017,1
대구,수성구,12.4,9.6,57.0,25.5,4.0,19.5,6.8,0.5,406900.0,76893.5,18.9,48812.0,16982.0,12.0,22.09,481,1,784,1.182,1.927,0.246,-1.303,-0.703,-0.238,-0.748,2
대구,중구,15.0,10.9,58.2,30.2,7.0,17.8,9.6,4.6,92804.5,17475.5,18.83,19149.0,4304.0,20.63,24.63,302,3,1153,3.254,12.424,3.233,-0.524,-0.357,-4.849,-1.91,3
대전,대덕구,21.0,12.4,65.7,37.5,6.4,20.6,11.0,1.8,168356.5,34025.0,20.21,28673.0,8554.0,17.03,25.14,109,2,235,0.647,1.396,1.188,-0.032,-0.212,-0.081,-0.108,1
대전,동구,25.2,9.4,47.5,32.0,5.2,24.9,11.7,1.5,217200.5,48748.0,22.44,46823.0,12602.0,21.56,25.85,172,1,283,0.792,1.303,0.46,0.203,0.007,0.101,0.104,1
대전,서구,16.5,7.2,62.8,27.1,5.6,20.9,9.7,4.7,459545.5,73410.5,15.97,83724.0,15852.0,18.22,21.59,498,3,1501,1.084,3.266,0.653,-0.696,-0.931,-0.54,-0.722,2
대전,유성구,14.5,8.3,52.2,29.2,5.9,16.7,6.7,3.4,367129.5,43622.0,11.88,65805.0,8651.0,17.92,19.83,252,1,558,0.686,1.52,0.272,-1.023,-1.396,0.225,-0.731,2
대전,중구,17.6,14.3,44.2,29.7,9.6,19.4,8.8,14.6,223223.0,51628.0,23.13,37131.0,12628.0,16.63,24.46,175,3,1010,0.784,4.525,1.344,0.488,-0.147,-0.775,-0.145,2
부산,강서구,15.1,11.1,49.7,32.1,3.1,18.7,9.8,2.8,142264.5,20731.0,14.57,17449.0,3785.0,12.27,18.26,64,0,107,0.45,0.752,0.0,-0.631,-1.465,0.652,-0.481,2
부산,금정구,14.1,8.4,64.7,31.1,5.6,18.9,7.9,1.5,211955.0,55025.5,25.96,40977.0,13189.0,19.33,23.97,169,0,272,0.797,1.283,0.0,-1.018,-0.06,0.28,-0.266,2
부산,기장군,13.6,10.3,49.2,31.2,3.9,20.1,10.5,8.5,176725.0,33559.5,18.99,23001.0,7839.0,13.02,23.36,105,1,232,0.594,1.313,0.566,-0.311,-0.523,0.219,-0.205,2
부산,남구,15.5,14.5,64.6,28.7,3.0,18.7,8.5,3.0,253238.5,60082.5,23.73,42133.0,13174.0,16.64,21.93,198,1,352,0.782,1.39,0.395,-0.823,-0.462,0.12,-0.388,2
부산,동구,22.5,13.0,60.4,35.0,5.5,19.2,11.1,2.2,86312.5,25292.5,29.3,18899.0,7377.0,21.9,29.17,80,3,326,0.927,3.777,3.476,-0.065,0.837,-1.602,-0.277,1
부산,동래구,13.4,11.4,43.2,32.1,5.7,16.9,9.4,5.0,271630.0,59090.0,21.75,36125.0,13351.0,13.3,22.59,247,4,583,0.909,2.146,1.473,-0.465,-0.479,-0.532,-0.492,2
부산,부산진구,14.2,12.0,57.4,34.6,4.7,17.2,9.6,2.8,357521.5,80839.5,22.61,73424.0,20301.0,20.54,25.11,510,4,1455,1.426,4.07,1.119,-0.624,-0.086,-1.136,-0.615,2
부산,북구,12.2,12.1,49.7,34.8,5.1,19.3,11.2,8.6,269810.5,60825.5,22.54,37910.0,15973.0,14.05,26.26,193,2,423,0.715,1.568,0.741,-0.088,0.069,0.01,-0.003,2
부산,사상구,19.2,12.5,53.6,36.9,6.0,20.7,11.3,3.9,200011.5,47013.0,23.51,37200.0,12386.0,18.6,26.35,122,2,330,0.61,1.65,1.0,0.12,0.134,-0.02,0.078,1
부산,사하구,17.6,11.0,56.0,35.5,4.8,21.3,9.4,4.0,294109.0,70673.5,24.03,47771.0,17678.0,16.24,25.01,227,0,377,0.772,1.282,0.0,-0.26,-0.022,0.301,0.006,2
부산,서구,17.5,12.2,54.6,36.2,5.0,22.2,8.4,6.7,103128.0,29758.0,28.86,21181.0,8357.0,20.54,28.08,68,4,1267,0.659,12.286,3.879,-0.074,0.663,-2.956,-0.789,3
부산,수영구,12.4,11.3,62.1,31.6,6.1,17.5,7.6,3.1,172130.5,43080.5,25.03,34205.0,9915.0,19.87,23.02,157,3,426,0.912,2.475,1.743,-0.896,-0.241,-0.695,-0.611,2
부산,연제구,12.6,11.0,52.4,31.5,8.5,20.9,11.1,4.7,208487.0,47489.5,22.78,32878.0,11024.0,15.77,23.21,206,1,383,0.988,1.837,0.48,-0.137,-0.338,-0.156,-0.21,2
부산,영도구,19.7,12.7,50.2,36.3,6.1,20.3,10.2,5.9,104637.0,34076.5,32.57,20492.0,9641.0,19.58,28.29,76,2,142,0.726,1.357,1.911,0.157,0.894,-0.422,0.21,1
부산,중구,22.8,10.0,56.4,29.9,1.6,23.0,12.0,2.9,37777.0,11946.0,31.62,12056.0,3963.0,31.91,33.17,73,1,184,1.932,4.871,2.647,-0.247,1.514,-2.282,-0.338,1
