시도,시군구,현재흡연율,고위험음주율,걷기실천율,비만율,우울감경험률,고혈압진단경험률,당뇨병진단경험률,미충족의료율,건강취약지수
전남,구례군,19.2,13.4,58.8,34.7,2.8,19.7,11.6,5.8,-0.103
전남,나주시,18.9,9.1,37.6,36.4,4.2,18.4,10.1,4.6,-0.17
전남,담양군,15.2,9.3,42.1,42.2,4.2,20.0,7.6,5.4,-0.258
전남,목포시,17.0,11.5,47.1,38.2,4.5,25.6,11.4,7.8,0.437
전남,무안군,14.6,12.0,39.6,38.2,4.2,18.8,10.8,3.9,-0.124
전남,보성군,18.2,13.5,48.9,35.2,8.6,21.3,12.0,4.1,0.388
전남,순천시,15.1,10.9,52.2,34.8,3.8,18.7,8.5,2.2,-0.677
전남,신안군,21.0,10.6,42.6,43.4,3.8,27.8,10.8,5.8,0.666
전남,여수시,18.8,12.9,50.5,39.3,2.9,20.2,8.6,0.8,-0.347
전남,영광군,25.0,12.3,55.5,39.6,5.4,15.4,11.0,3.1,0.015
전남,영암군,25.9,14.0,46.4,40.3,6.3,24.6,12.4,0.7,0.756
전남,완도군,21.8,14.9,50.8,42.7,5.4,19.7,9.3,5.3,0.334
전남,장성군,15.3,12.3,26.6,45.2,6.1,24.2,10.5,1.9,0.531
전남,장흥군,22.8,11.2,47.4,41.7,3.4,19.0,10.6,1.0,-0.038
전남,진도군,13.5,16.7,50.7,41.5,4.6,23.8,11.9,0.6,0.226
전남,함평군,19.7,12.5,59.2,32.1,4.2,20.3,11.2,6.4,-0.09
전남,해남군,27.4,13.2,44.1,36.6,6.8,20.3,8.8,7.1,0.52
전남,화순군,15.6,11.3,38.5,35.4,3.3,20.2,12.3,4.6,-0.025
전북,고창군,16.3,8.2,47.5,42.1,6.1,21.7,15.0,7.0,0.527
전북,군산시,21.1,15.1,50.2,37.5,5.0,22.7,12.4,6.6,0.601
전북,김제시,21.6,12.4,44.4,39.5,5.0,25.3,12.1,7.6,0.771
전북,남원시,16.6,15.7,47.4,34.4,4.9,22.7,8.5,4.6,0.006
전북,무주군,18.4,10.0,36.6,37.5,3.6,20.5,10.1,2.5,-0.135
전북,부안군,19.0,15.1,30.4,44.8,3.4,22.8,10.3,1.7,0.469
전북,순창군,21.6,14.1,39.4,29.9,2.2,23.1,10.4,1.5,-0.069
전북,완주군,18.5,11.3,33.4,35.7,2.4,19.0,7.7,2.7,-0.419
전북,익산시,17.9,10.8,41.2,39.3,8.2,19.5,10.7,7.1,0.38
전북,임실군,19.3,14.7,35.1,34.4,6.2,18.8,8.1,8.4,0.223
전북,장수군,13.4,7.6,42.1,33.8,4.4,21.9,9.9,14.4,0.056
전북,전주시,12.6,7.0,50.7,24.4,6.6,17.8,6.2,6.1,-1.092
전북,정읍시,16.7,15.1,50.7,37.8,7.5,21.7,14.7,9.8,0.879
전북,진안군,17.1,13.6,40.9,37.1,8.5,21.3,10.1,5.1,0.386
제주,서귀포시,20.0,14.3,44.2,37.3,4.5,23.2,9.1,10.7,0.506
제주,제주시,16.4,11.4,51.7,37.1,3.4,19.5,8.1,3.5,-0.496
충남,계룡시,12.1,13.0,40.8,33.3,2.1,22.7,9.1,2.3,-0.468
충남,공주시,24.3,12.1,45.1,32.8,6.0,24.2,10.1,5.5,0.412
충남,금산군,23.2,13.6,48.0,31.8,6.8,21.0,9.0,3.1,0.076
충남,논산시,19.6,9.9,43.9,29.4,3.9,21.4,8.3,6.8,-0.291
충남,당진시,21.8,15.7,41.7,41.7,5.7,27.3,11.4,4.3,0.955
충남,보령시,20.6,12.1,34.7,41.2,5.4,25.7,10.2,5.1,0.66
충남,부여군,15.0,10.9,46.1,38.5,5.3,21.0,8.8,4.0,-0.194
충남,서산시,19.4,11.9,43.6,33.4,8.6,26.0,10.3,4.7,0.494
충남,서천군,18.8,11.1,34.1,39.4,3.0,26.6,11.5,6.4,0.56
충남,아산시,20.2,13.4,54.9,39.8,12.2,25.3,10.1,6.9,0.925
충남,예산군,16.6,12.3,47.5,39.6,6.7,21.8,10.9,5.0,0.279
충남,천안시,20.3,12.7,59.7,37.3,6.3,22.2,9.7,4.7,0.116
충남,청양군,24.0,16.0,47.0,41.6,1.2,22.0,6.8,2.4,-0.006
충남,태안군,17.6,10.3,42.2,33.3,8.5,27.1,9.2,9.3,0.541
충남,홍성군,17.3,14.3,51.3,36.9,5.6,25.5,10.2,6.3,0.391
충북,괴산군,23.1,21.6,49.4,40.4,6.0,27.1,12.2,7.3,1.348
충북,단양군,16.7,9.7,27.9,40.5,8.7,27.5,11.9,3.5,0.827
충북,보은군,15.1,13.8,20.5,41.1,6.8,22.2,10.5,9.5,0.829
충북,영동군,20.0,14.3,47.5,40.1,3.6,26.1,11.6,5.1,0.579
충북,옥천군,18.1,7.0,52.0,35.7,4.5,22.7,11.4,1.1,-0.294
충북,음성군,22.8,14.4,33.7,37.6,8.0,21.7,10.1,3.6,0.639
충북,제천시,20.2,17.6,45.7,37.1,7.5,22.9,11.0,8.4,0.856
충북,증평군,19.6,16.9,41.3,33.9,6.7,25.0,10.5,5.5,0.644
충북,진천군,19.7,16.2,33.2,39.9,7.0,23.7,9.7,6.7,0.823
충북,청주시 상당구,22.6,16.7,50.7,34.0,7.3,21.0,9.6,6.0,0.434
충북,청주시 서원구,17.5,17.2,41.4,29.2,5.4,20.4,8.6,6.4,0.028
충북,청주시 청원구,22.1,15.5,53.4,35.7,5.9,20.1,9.9,5.9,0.268
충북,청주시 흥덕구,17.4,11.5,54.0,30.5,3.6,19.1,8.8,4.0,-0.599
충북,청주시(통합 후),19.6,14.6,50.6,32.2,5.3,20.0,9.1,5.3,-0.063
충북,충주시,17.7,11.7,35.4,35.4,6.0,24.1,8.9,7.1,0.312
